Count,Name,Energy(kcal/mol),Charge,Multiplicity
1,Ac,-16112989.124,0,2
2,Ac(HCOO)3,-16469059.838,0,1
3,Ac(NO3)3,-16640537.682,0,1
4,Ac(OH)3,-16255821.548,0,1
5,AcCl3,-16981307.130,0,1
6,AcF3,-16301133.162,0,1
7,Ac_3+,-16112206.233,3,1
8,Am,-19049343.473,0,8
9,Am(OH)3,-19192094.303,0,7
10,AmF3,-19237433.521,0,7
11,Am_3+,-19048427.346,3,7
12,Bk,-20105984.661,0,6
13,Bk(OH)3,-20248759.148,0,7
14,Bk_3+,-20105099.927,3,7
15,C2O4_2-,-236448.615,-2,1
16,Cf,-20649782.451,0,5
17,Cf_3+,-20648854.285,3,6
18,CH3COOH,-143625.860,0,1
19,CH3COO_-,-143272.185,-1,1
20,Cl2,-578704.943,0,1
21,Cl_-,-289403.860,-1,1
22,Cm,-19572525.424,0,9
23,Cm(OH)3,-19715409.707,0,8
24,CmF3,-19760737.863,0,8
25,Cm_3+,-19571734.065,3,8
26,CO3_2-,-165347.746,-2,1
27,F2,-125176.064,0,1
28,F_-,-62643.269,-1,1
29,H2C2O4,-237232.118,0,1
30,H2CO3,-166182.912,0,1
31,H2O,-47928.566,0,1
32,H2SO4,-439718.840,0,1
33,HCl,-289741.001,0,1
34,HCOOH,-118989.320,0,1
35,HCOO_-,-118639.267,-1,1
36,HF,-63018.543,0,1
37,HNO3,-176149.977,0,1
38,NO3_-,-175820.518,-1,1
39,Np,-18032485.088,0,6
40,Np(OH)3,-18175265.715,0,5
41,Np(OH)4,-18222930.181,0,4
42,Np(SO4)2,-18910615.611,0,4
43,NpF4,-18283335.072,0,4
44,NpF6,-18408629.526,0,2
45,NpO2F,-18189679.935,0,3
46,NpO2HCOO,-18245659.755,0,3
47,NpO2OH,-18174584.995,0,3
48,NpO2_+,-18126833.616,1,3
49,Np_3+,-18031632.600,3,5
50,Np_4+,-18030880.116,4,4
51,Np_6+,-18028308.012,6,2
52,OH_-,-47531.431,-1,1
53,Pa,-17054180.019,0,4
54,PaF4,-17305077.441,0,2
55,PaOCl3,-17969791.532,0,1
56,PaOF3,-17289628.144,0,1
57,PaO_3+,-17100564.907,3,1
58,Pa_4+,-17052662.879,4,2
59,Pu,-18535915.100,0,7
60,Pu(OH)3,-18678800.026,0,6
61,Pu(OH)4,-18726408.748,0,5
62,PuCl6,-20272379.561,0,1
63,PuF3,-18724121.726,0,6
64,PuF4,-18786812.187,0,5
65,PuF6,-18912047.489,0,1
66,PuO2(OH)2,-18725608.558,0,3
67,PuO2C2O4,-18866966.808,0,3
68,PuO2Cl2,-19209239.379,0,3
69,PuO2CO3,-18795880.208,0,3
70,PuO2SO4,-19069394.028,0,3
71,PuO2_2+,-18629950.471,2,3
72,Pu_3+,-18535122.710,3,6
73,Pu_4+,-18534341.813,4,5
74,Pu_6+,-18531667.235,6,3
75,SO4_2-,-438947.610,-2,1
76,Th,-16579065.546,0,3
77,Th(C2O4)2,-17052263.320,0,1
78,Th(CO3)2,-16910127.289,0,1
79,Th(NO3)4,-17282500.622,0,1
80,Th(OH)4,-16769557.655,0,1
81,Th(SO4)2,-17457240.165,0,1
82,ThCl4,-17736845.168,0,1
83,ThF4,-16829964.377,0,1
84,Th_4+,-16577585.582,4,1
85,U,-17538566.417,0,5
86,U(OH)4,-17729062.130,0,1
87,UCl4,-18696359.022,0,3
88,UCl5,-18985745.801,0,2
89,UCl6,-19275131.149,0,1
90,UF4,-17789474.825,0,3
91,UF5,-17852149.693,0,2
92,UF6,-17914814.990,0,1
93,UO2(NO3)2,-17984821.108,0,1
94,UO2(OH)2,-17728341.469,0,1
95,UO2C2O4,-17869703.227,0,1
96,UO2Cl2,-18211993.273,0,1
97,UO2CO3,-17798635.776,0,1
98,UO2F2,-17758540.865,0,1
99,UO2SO4,-18072188.434,0,1
100,UO2_2+,-17632679.392,2,1
101,UO3,-17680364.524,0,1
102,U_4+,-17537038.250,4,3
103,U_5+,-17535990.635,5,2
104,U_6+,-17534590.174,6,1
